qid,name
Q71314919,TGFBR2-expressing human cerebral cortex MTG GABAergic interneuron
Q71314923,SP8-expressing human cerebral cortex MTG GABAergic interneuron
Q71314925,NDNF-expressing human cerebral cortex MTG GABAergic interneuron
Q71314927,KIT-expressing human cerebral cortex MTG GABAergic interneuron
Q71314930,CPLX3-expressing human cerebral cortex MTG GABAergic interneuron
Q71314934,EYA4-expressing human cerebral cortex MTG GABAergic interneuron
Q71314938,ANKFN1-expressing human cerebral cortex MTG GABAergic interneuron
Q71314941,ARHGAP36-expressing human cerebral cortex MTG GABAergic interneuron
Q71314943,BAGE2-expressing human cerebral cortex MTG GABAergic interneuron
Q71314945,CNR1-expressing human cerebral cortex MTG GABAergic interneuron
Q71314947,DCN-expressing human cerebral cortex MTG GABAergic interneuron
Q71314951,CCDC141-expressing human cerebral cortex MTG GABAergic interneuron
Q71314953,DACH2-expressing human cerebral cortex MTG GABAergic interneuron
Q71314959,EGFEM1P-expressing human cerebral cortex MTG GABAergic interneuron
Q71315558,PCP4|IGFBP7-expressing human cerebral cortex MTG GABAergic interneuron
Q71314964,IQGAP2-expressing human cerebral cortex MTG GABAergic interneuron
Q71314968,ANGPT1-expressing human cerebral cortex MTG GABAergic interneuron
Q71315560,TAC3|TSHZ2-expressing human cerebral cortex MTG GABAergic interneuron
Q71315565,TAC3|COL15A1-expressing human cerebral cortex MTG GABAergic interneuron
Q71314976,LOC100421401-expressing human cerebral cortex MTG GABAergic interneuron
Q71314979,HTR2C-expressing human cerebral cortex MTG GABAergic interneuron
Q71314981,KCNH8-expressing human cerebral cortex MTG GABAergic interneuron
Q71314983,GGH-expressing human cerebral cortex MTG GABAergic interneuron
Q71314986,C18orf42-expressing human cerebral cortex MTG GABAergic interneuron
Q71314988,LRRC63-expressing human cerebral cortex MTG GABAergic interneuron
Q71314991,SLC7A11-expressing human cerebral cortex MTG GABAergic interneuron
Q71315567,PCP4|LINC01583-expressing human cerebral cortex MTG GABAergic interneuron
Q71314033,NPY-expressing human cerebral cortex MTG GABAergic interneuron
Q71314997,HPGD-expressing human cerebral cortex MTG GABAergic interneuron
Q71315000,NMU-expressing human cerebral cortex MTG GABAergic interneuron
Q71315001,LOC100996671-expressing human cerebral cortex MTG GABAergic interneuron
Q71315004,SPON1-expressing human cerebral cortex MTG GABAergic interneuron
Q71315006,QRFPR-expressing human cerebral cortex MTG GABAergic interneuron
Q71315010,SLC9A2-expressing human cerebral cortex MTG GABAergic interneuron
Q71315015,LOC101929028-expressing human cerebral cortex MTG GABAergic interneuron
Q71315017,ADGRG6-expressing human cerebral cortex MTG GABAergic interneuron
